name,playerID,teamID,year,HR,AB,mean_exit_velo,mean_launch_angle,launch_angle_75,launch_angle_70,launch_angle_65,exit_velo_75,exit_velo_80,exit_velo_85,BPF
Kyle Seager,seageky01,SEA,2021,35,603,88.80178571428571,19.058035714285708,36,33,30,99.39999999999999,101,103.5,95
Marcus Semien,semiema01,TOR,2021,45,652,89.47094972067039,20.26443202979516,38,35,31,99.1,100.4,102,102
Dansby Swanson,swansda01,ATL,2021,27,588,89.41494736842105,14.734736842105264,31.5,28,25,100.05,101.52000000000001,103.08999999999999,107
Jose Abreu,abreujo02,CHA,2022,15,601,92.1815415821501,7.953346855983761,26,22.399999999999977,18.80000000000001,102.8,104.16,105.82,103
Willy Adames,adamewi01,MIL,2022,31,563,88.91637717121588,18.980148883374696,36,33,29,99.8,101.5,103.07,98
Pete Alonso,alonspe01,NYN,2022,40,597,90.08047808764941,17.906374501992026,38,31.69999999999999,28,102.45,104.6,107.1,96
Nolan Arenado,arenano01,SLN,2022,30,557,88.7188605108055,21.322200392927297,39,35,31,99.7,101.1,102.4,94
Randy Arozarena,arozara01,TBA,2022,20,586,89.87775229357798,8.757437070938213,29,23.19999999999999,20,101.2,103.3,104.8,95
Javier Baez,baezja01,DET,2022,17,555,88.17258064516129,9.71428571428571,28,24,20,100.1,101.53999999999999,103.305,96
Mookie Betts,bettsmo01,LAN,2022,35,572,90.62627291242363,19.057026476578407,36,33,29,99.75,101.2,102.2,106
Bo Bichette,bichebo01,TOR,2022,24,652,91.87773512476008,8.432950191570887,25,21,17,102.4,103.8,105.2,100
Xander Bogaerts,bogaexa01,BOS,2022,15,557,88.1408888888889,10.314855875831487,29,23,19,100.04999999999998,101.52000000000001,102.99499999999999,108
Alec Bohm,bohmal01,PHI,2022,13,586,90.06696750902528,9.81227436823105,26,22,19,100.77499999999999,102.1,103.3,100
C. J. Cron,croncj01,COL,2022,29,575,88.73837209302326,14.176334106728543,32,29,25,101.57499999999999,103.02000000000001,104.865,113
Jake Cronenworth,croneja01,SDN,2022,17,587,86.8257085020243,17.585020242914972,38,34,29,97.37500000000001,98.8,100.405,92
Rafael Devers,deverra01,BOS,2022,27,555,93.07078651685393,11.109865470852021,28,26,21,103.6,105.32,106.84,108
Tommy Edman,edmanto01,SLN,2022,13,577,88.20867768595042,8.967010309278354,28,22,19.600000000000023,98.42500000000001,100.2,101.655,94
Ty France,francty01,SEA,2022,20,551,87.57196652719665,9.601252609603328,27,22.599999999999966,19,99,100.7,102.535,95
Freddie Freeman,freemfr01,LAN,2022,21,612,91.49169811320755,13.58380414312618,29,25,22,100.27499999999999,101.66,103.3,106
Adolis Garcia,garciad02,TEX,2022,27,605,91.90093457943925,13.277389277389279,30,26.599999999999966,23,102.22500000000001,103.7,104.995,100
Paul Goldschmidt,goldspa01,SLN,2022,35,561,91.08451025056948,15.970387243735756,34,30,26,102.8,103.9,104.63,94
Vladimir Guerrero,guerrvl02,TOR,2022,32,638,93.05072202166065,4.302702702702702,22,18,14,105.625,107.44000000000001,109.1,100
Ian Happ,happia01,CHN,2022,17,573,89.46455399061033,10.610328638497647,30,25,20.25,100.125,101.6,103.1,100
Cesar Hernandez,hernace02,WAS,2022,1,560,83.1989010989011,8.184615384615391,27,23,20,96.9,98.2,99.5,94
Rhys Hoskins,hoskirh01,PHI,2022,30,589,90.0419028340081,19.145748987854258,37.75,33,29,100.475,102.1,103.5,100
Aaron Judge,judgeaa01,NYA,2022,62,570,95.88175675675676,14.927927927927927,31,29,26,106.32499999999999,108.63999999999999,110.055,101
Steven Kwan,kwanst01,CLE,2022,6,563,84.47193308550186,10.936920222634505,30,25.599999999999966,21,93.7,95,96.1,98
Francisco Lindor,lindofr01,NYN,2022,26,630,89.5668549905838,13.894538606403017,34,29,26,100.15,101.4,102.6,96
Nathaniel Lowe,lowena01,TEX,2022,27,593,90.05055432372505,8.294900221729486,26,22,19,102,103.9,105.45,100
Manny Machado,machama01,SDN,2022,32,578,91.83222453222453,15.777546777546778,32,27,23,102.7,104.9,106,92
Ryan Mountcastle,mountry01,BAL,2022,22,555,91.21515892420538,15.694376528117365,32,29,25.19999999999999,102,104,105.3,102
Cedric Mullins,mullice01,BAL,2022,16,608,87.30912778904666,15.765182186234812,36,32,28.44999999999999,98.6,100.02000000000001,101.32,102
Brandon Nimmo,nimmobr01,NYN,2022,16,580,88.43979797979799,6.200000000000006,27,22,18,100.3,101.7,102.89,96
Shohei Ohtani,ohtansh01,LAA,2022,34,586,92.71670533642691,11.689095127610202,29,26,23,103.55,105.1,106.9,102
Matt Olson,olsonma02,ATL,2022,34,616,92.71518438177874,16.162689804772228,35,30,27,103.5,105.2,106.7,102
Jurickson Profar,profaju01,SDN,2022,15,575,86.77992202729045,12.864341085271317,30,26,22,97.7,99.32000000000001,101.02,92
Jose Ramirez,ramirjo01,CLE,2022,29,601,87.44046762589929,20.82226211849191,41,35,31,98.92500000000001,100.2,101.4,98
Austin Riley,rileyau01,ATL,2022,38,615,92.31626898047722,12.683982683982682,31,27,23.650000000000034,103.6,105.6,107.6,102
Amed Rosario,rosaram01,CLE,2022,11,637,88.31844484629295,4.669675090252726,22,19,16,99.6,101.46000000000001,102.9,98
Anthony Santander,santaan02,BAL,2022,33,574,89.94636752136752,21.732905982905983,40,36,32,101.32499999999999,102.6,104.2,102
Kyle Schwarber,schwaky01,PHI,2022,46,577,92.99862068965517,19.19540229885057,37.5,33,30,104.4,105.92000000000002,107.89,100
Corey Seager,seageco01,TEX,2022,33,593,91.11971830985915,13.644578313253007,31,28,24,101.7,103.28,104.7,100
Marcus Semien,semiema01,TEX,2022,26,657,87.30199637023594,20.012704174228674,39,35,32,97.95,99.1,100.4,100
Dansby Swanson,swansda01,ATL,2022,25,640,90.16131078224102,15.964059196617338,33,27,25,100.7,102.4,103.53999999999999,102
Trea Turner,turnetr01,LAN,2022,21,652,88.91945454545454,10.762250453720503,29,26,23,100.77499999999999,102,103.065,106
Alex Verdugo,verdual01,BOS,2022,11,593,89.08713450292397,8.393762183235864,26,23,20,98.7,100.4,101.7,108
Christian Walker,walkech02,ARI,2022,36,583,90.36535269709543,17.1304347826087,35,31,28,101.9,103,104.885,98
Bobby Witt,wittbo02,KCA,2022,20,591,89.70326797385621,16.77777777777776,37,33,29,100.8,103.14,104.8,103
Christian Yelich,yelicch01,MIL,2022,14,575,91.18468899521531,3.2320574162679474,19,15.899999999999977,12,102.77499999999999,104.36,105.8,98
